ROUND,MIN,HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,HOME_WIN
1,200,BER,PAR,100,84,W
1,200,VIR,MCO,66,83,L
1,200,VBC,BSK,71,81,L
1,200,PAO,RMB,68,71,L
1,200,EFS,CZV,72,59,W
1,200,FCB,OLY,70,80,L
1,200,MTA,ZAL,84,83,W
1,200,BAY,FBD,62,74,L
1,200,ASV,MIL,62,69,L
2,200,FBD,MTA,86,71,W
2,225,MCO,EFS,95,92,W
2,225,MIL,BER,74,80,L
2,200,CZV,PAO,75,77,L
2,225,BSK,PAR,103,96,W
2,200,OLY,ZAL,90,80,W
2,200,VIR,BAY,66,63,W
2,200,FCB,RMB,75,73,W
2,200,VBC,ASV,76,77,L
3,200,BSK,CZV,92,75,W
3,200,BER,PAO,94,65,W
3,200,FBD,ASV,84,63,W
3,200,PAR,MIL,75,80,L
3,200,RMB,OLY,87,89,L
3,200,BAY,FCB,73,84,L
3,200,EFS,VBC,91,92,L
3,200,MTA,MCO,78,70,W
3,200,ZAL,VIR,68,65,W
4,200,MTA,ASV,88,69,W
4,200,FBD,VBC,79,77,W
4,200,BSK,OLY,92,97,L
4,200,RMB,CZV,72,56,W
4,200,PAR,VIR,90,62,W
4,200,BAY,MIL,81,83,L
4,200,PAO,MCO,80,83,L
4,200,ZAL,FCB,73,72,W
4,200,EFS,BER,78,74,W
5,200,PAR,ZAL,87,76,W
5,200,MTA,PAO,85,74,W
5,200,ASV,BSK,87,61,W
5,200,OLY,MCO,76,81,L
5,200,VBC,BER,87,73,W
5,200,FCB,MIL,74,56,W
5,200,CZV,BAY,78,72,W
5,200,EFS,FBD,79,88,L
5,200,RMB,VIR,91,95,L
6,200,ZAL,BER,88,81,W
6,200,VIR,ASV,79,84,L
6,200,BAY,EFS,81,78,W
6,200,FCB,FBD,81,80,W
6,200,BSK,MTA,116,87,W
6,200,MCO,CZV,85,77,W
6,200,PAO,PAR,89,91,L
6,200,MIL,RMB,77,83,L
6,200,OLY,VBC,82,83,L
7,200,MIL,VIR,59,64,L
7,200,PAO,BSK,98,83,W
7,200,OLY,PAR,87,58,W
7,200,FBD,CZV,93,79,W
7,200,MTA,FCB,79,86,L
7,200,RMB,EFS,94,85,W
7,200,ASV,ZAL,76,93,L
7,200,BER,BAY,77,79,L
7,200,VBC,MCO,89,84,W
8,200,RMB,BER,90,72,W
8,200,CZV,ASV,71,67,W
8,200,EFS,FCB,96,86,W
8,200,BAY,OLY,71,82,L
8,200,ZAL,MIL,71,62,W
8,200,VIR,VBC,89,59,W
8,200,PAR,MTA,96,88,W
8,200,FBD,PAO,107,77,W
8,200,MCO,BSK,79,74,W
9,200,MIL,EFS,51,80,L
9,200,MCO,FBD,93,96,L
9,225,PAO,VIR,88,85,W
9,200,VBC,RMB,73,80,L
9,200,MTA,OLY,90,84,W
9,200,ASV,BAY,74,75,L
9,200,FCB,PAR,79,68,W
9,225,BER,CZV,84,88,L
9,200,BSK,ZAL,93,73,W
10,200,FCB,BSK,96,84,W
10,200,MIL,FBD,72,82,L
10,200,OLY,BER,86,76,W
10,200,VBC,ZAL,76,80,L
10,200,PAO,ASV,77,58,W
10,200,VIR,EFS,80,85,L
10,200,CZV,MTA,69,68,W
10,200,MCO,BAY,80,79,W
10,200,RMB,PAR,105,97,W
11,200,ZAL,PAO,67,81,L
11,200,FBD,RMB,71,85,L
11,200,EFS,OLY,82,71,W
11,200,CZV,VIR,83,74,W
11,225,PAR,VBC,96,100,L
11,200,BER,FCB,86,88,L
11,200,ASV,MCO,75,84,L
11,200,BSK,MIL,78,62,W
11,200,BAY,MTA,98,89,W
12,200,PAR,CZV,73,76,L
12,200,ZAL,EFS,60,86,L
12,200,MTA,VBC,84,68,W
12,200,BSK,BAY,78,53,W
12,200,BER,FBD,75,104,L
12,200,FCB,ASV,74,75,L
12,225,RMB,MCO,94,95,L
12,225,PAO,MIL,90,77,W
12,200,OLY,VIR,117,71,W
13,200,EFS,BSK,78,83,L
13,200,OLY,FBD,94,67,W
13,200,ASV,PAR,91,87,W
13,225,VBC,PAO,94,91,W
13,200,MIL,MTA,71,77,L
13,200,VIR,BER,85,76,W
13,200,MCO,FCB,63,69,L
13,200,BAY,RMB,64,68,L
13,200,CZV,ZAL,77,73,W
14,200,BAY,VBC,97,92,W
14,200,VIR,MTA,78,73,W
14,200,PAR,EFS,82,79,W
14,200,MCO,BER,92,89,W
14,200,FCB,PAO,74,68,W
14,200,FBD,BSK,70,76,L
14,200,CZV,MIL,67,71,L
14,200,ZAL,RMB,81,72,W
14,200,ASV,OLY,77,75,W
15,200,VBC,FCB,84,83,W
15,200,FBD,PAR,72,73,L
15,200,ZAL,BAY,75,67,W
15,200,BSK,VIR,90,79,W
15,200,MIL,MCO,79,71,W
15,200,OLY,CZV,86,90,L
15,200,BER,MTA,70,83,L
15,200,RMB,ASV,92,73,W
15,200,EFS,PAO,88,69,W
16,200,PAR,BAY,83,77,W
16,200,ASV,BER,79,91,L
16,200,MTA,EFS,80,72,W
16,200,VIR,FBD,92,88,W
16,200,PAO,OLY,71,95,L
16,200,BSK,RMB,92,86,W
16,200,MCO,ZAL,84,82,W
16,200,MIL,VBC,90,79,W
16,225,CZV,FCB,94,99,L
17,200,BAY,PAO,84,68,W
17,200,ZAL,FBD,86,66,W
17,200,OLY,MIL,82,66,W
17,200,PAR,MCO,100,80,W
17,200,EFS,ASV,78,72,W
17,200,FCB,VIR,75,83,L
17,200,VBC,CZV,75,77,L
17,200,BER,BSK,85,84,W
17,200,RMB,MTA,98,65,W
18,200,VIR,ZAL,77,87,L
18,200,CZV,RMB,59,79,L
18,200,ASV,FCB,75,82,L
18,225,PAO,FBD,88,94,L
18,200,MTA,PAR,90,81,W
18,200,MCO,OLY,64,60,W
18,200,BAY,BSK,92,79,W
18,200,BER,MIL,83,63,W
18,200,VBC,EFS,81,71,W
19,200,MIL,ZAL,61,66,L
19,200,VIR,OLY,83,85,L
19,200,CZV,MCO,92,68,W
19,200,ASV,VBC,79,83,L
19,200,BER,RMB,77,84,L
19,200,PAO,MTA,88,86,W
19,200,FCB,EFS,75,80,L
19,200,PAR,BSK,83,65,W
19,200,FBD,BAY,79,71,W
20,200,VIR,PAO,74,64,W
20,200,MTA,BER,87,74,W
20,200,BSK,FCB,78,85,L
20,200,MIL,ASV,73,79,L
20,200,EFS,BAY,81,89,L
20,200,VBC,PAR,89,81,W
20,200,ZAL,CZV,71,66,W
20,200,OLY,RMB,73,60,W
